,text,label_sentiment
3022,"Im my previous review I mentioned that this hotel was terrible but now I found out that they are the biggest fraud.. As we did not stay in this hotel due to unavailability of booked rooms, they agreed not to charge any amount on our credit card. We got this in writing and went to another hotel. However now almost after 8 months, this pricks have charged my credit card with the amount. Now I am struggling to get my money back. We are stuck between the hotel not responding to booking.com and booking.com not paying us back as promised.   PLESE DO NOT BOOK THIS HOTEL. I CANNOT STRESS IT ENOUGH BUT THESE PEOPLE ARE UNPROFESSIONAL & TRUELY JERKS!!!",0
3028,"Excellent location very close to the old city sites, just a few blocks (hilly) from the Hippodrome, obelisks, Blue Mosque, Hagia Sofia, etc... The staff were pleasant, and the hotel was small and old style authentic, but the room looked tired and worn out, with rips in the wallpaper, a flat screen TV hanging on the wall on an angle that was plugged into a dangling power bar, and didn't seem to receive any channels. One of the ""fresh"" bath towels had a small blood stain and hair on it. The little bottles of shampoo (?), conditioner (?) and soap (?) were unlabelled and none of the staff knew which was which. We were there for two nights and on the first night at about 10 pm, we were in bed and heard a key in the lock. Before we could get out of bed, the door opened and a male staff person looked in, to which we said ""excuse me!? we're in this room!"" and with a murmur he closed the door, apparently unaware we were booked in the room? Creepy and unnerving. The shower doors were stiff and hard to open and close, and the shower rod supporting the handheld shower was not properly attached to the wall.  Our stay wasn't a disaster, but certainly not of the minimum standards we would expect.  Not angry, but certainly disappointed.",0
3030,"I booked a room with a king bed in this hotel on booking.com with a fairly good price and I was very happy and excited to get there with my boyfriend to spend the best vacation ever! Unfortunately, that turned out not to be the case. First, they told us that we need to pay additional fees if we wanted to have a second person in a room that is obviously for two people. After I contested this additional fees, they told me that we cannot even stay as two unmarried people in the same room anyways, because it was not a decent thing. I wanted them to cancel the room, and in fact started begging, but they could not care less. After all this ordeal, they have already taken out the money for the hotel room that they obviously are not going to let me in. Thanks for ruining my one vacation this year even before getting there. Avoid this place at all costs.",0
3039,"We booked our reservation with booking.com -- a non refundable reservation- months before our trip on what appeared to be a good deal.   I reviewed the reviews the closer we got to our trip and what I feared happened based on recent review -- our room was not available and we were moved to another hotel for the 1st night. While I thought I would be ready to deal with this -- after a 10 hour flight from D.C. I just wanted to get a room and start our trip -- We were offered 2 options and took the best of the two.   What has me upset was the lying as to why the room was not available --- We were told that the room above had a flood which damaged our room -- the room below.   After our first night - the following day we walked back and were given a room with balcony that we had reserved. The other room was a dark - smoke smelly room at the Stone Hotel.   When we checked back in -- we met with Omar, the manager/owner, who indicated that they had merged 2 hotels and that the reservation systems were of synch ---- a total different story.   Is this Hotel acting like a consolidator to fill close by hotels ---- who knows --- just know that you may not get your room and may have to stay at another inferior hotel -- causing inconveniences and bad experiences.",0
3040,"I have booked and confirmed the reservation on eBooking. When we arrived, we discovered that the hotel was over booked ! No rooms availables. The hotel tried to make us pay before sending us to another poor and cheap location... We refused. And most of all, the reservation has been cancelled on eBooking : this way, no possibility to leave a comment and share to people. I do not recommand this hotel.",0
3044,"We had booked this hotel 3 months in advance and that too room with balcony, to enjoy our stay being in the center of the city. However to our surprise, when we reached there it turned out to be the worst experience of my life. First of all, we booked hotel pick up service, but the driver could not find us nor did we, because he was holding the name of the hotel as ""Art Inn"". After 5 calls to the hotel, we gave up and asked one person who was roaming around since long with ""Hotel Art Inn"", surprisingly he was our driver. So anyways we reached to the hotel after waiting on the airport for about 45 minutes. After our arrival, they were just delaying our check in by conversation and offering us something to drink etc... When asked if there is a problem, they said everything is in order. After spending almost 20-30 minutes in the waiting area, they started showing us our rooms and there came the biggest shock. They started showing us rooms without balcony and very small too. Also the stairs were scary and from the window you can see nothing. When asked about room with balcony, they started giving excuses and told us that last minute there was some problem and that there is no other room available but these. They offered to reduce the price by EUR10 per room. When we argued with him that it is not acceptable, they started behaving as if we are being unreasonable. Hotel Staff treatment was unacceptable and we decided to leave the hotel and stay anywhere else but in this hotel. They agreed not to charge the payment on our card but they reported to Booking.com that we did not come at all and it shows as ""no show"" status. We received an email next day about charging us for the room but after calling Booking.com it was sorted out.  After coming back I read reviews but the bad experiences were reported only by certain nationality people which shows their discrimination in service.  I would never go back but would urge others too not to go here. There are many other hotels available cheaper than this one and with better hospitality.",0
3294,"Please avoid this hotel. No customer empathy, we landed around 5am and reached hotel at 10am. Asked for early checkin, as per them no rooms were available whereas I checked on website rooms were available. Plus they were asking $150 for early check-in. When asked how rooms are available for early check-in? No answer, looked like order from senior management to charge for early check-in, even if rooms were available. This happened when we booked for 5 nights and emailed for early check-in. My family (with kids) were so sleepy and badly needed the room. Finally paid $100 to get the room early. We don't have control on timings of international flights management should understand that, I saw lot of guests with small kids were sleeping in hospitality area (on seats) but no empathy from hotel staff. Will avoid booking this hotel next time",0
3377,"weve made a reservation for 2 nights to this hotel. we arrived at 11 pm due to flighy delay and weve being told that they are over booked and told us that they will bring us a   room in a nearby hotel and the day after we will get a superium room to compensate us due to our first night. early morning after breakfast that was poor and not fresh they showed us the superium room that well get and told us to bring our luggagas from the nearby hotel to our new super room. when we got to our room to take our luggages weve got a phone from the guy that 1 second ago told us to get our stuff that we can not get the superium room and that after they promissed us. we didnt get any apology; just 2 words ""can not"". weve got a querter of the money back and left. do yourself a  favor and stay away of this hotel.",0
3423,"This hotel was a severe disappointment considering its 4+ star rating on TripAdvisor.  Reasonably clean but a noisy location with lots of street noise. The location is fairly remote but with easy access to Phuket Town via taxi. There are several good restaurants nearby within walking distance.  Hotel staff repeatedly ignored the ""Do Not Disturb"" sign to enter my room and turn off the air conditioner without my approval. Neither the receptionist or the owner appeared to show any concern for my complaints. As an avid scuba diver, I had clothing and equipment laid out to dry in the room's air conditioned, dry air, and several times they entered my room and turned off the system leaving clothes and equipment damp and musty.  What was more infuriating was the receptionist's and owner's complete indifference to my concern and complaints. Apparently, as a guest, I had no right to leave the air conditioning on. I was sworn at and insulted in front of other guests.  They then blamed me for ""breaking"" their key fob - a key fob that had definitely seen many years of use and was already completely worn and abraded. Even though it's not in the guest agreement that you sign at check-in, they will try to 'fine' you 1200 Baht (no receipt issued). What a scam.  Breakfast was included but the ""American Breakfast"" was always either cold or stale as though it had been pre-cooked. The coffee was undrinkable. Stick with the tea - you can't go wrong with hot water and a simple tea bag!  My advice: avoid this place.",0
3476,"What Ovolo HK has done to me is absolutely UNACCEPTABLE and IRRATIONAL!!!  So basically what happens is they charged me for 4 nights, but only allowed me to stay for 3 nights, plus WITHOUT refunding me the rest of one night room fee. I thought HK is a law-based society? Isn't this behaviour a daylight robbery? How come they stole a night (900 HKD) from me???",0
3532,"I chose to quarantine here based on reviews, but sadly my experience has been awful. The room is small, the bed is like a rock, the car noise from the road is constant, the food always arrives cold and the answer from staff is the “there are 200 people in the hotel we can’t do anything more…”. Maybe they are taking too many people or don’t have sufficient staff - but the service is dreadful. Very disappointing.",0
3615,"The suite looks nice at photos, but in real life it's very old and needs to be fully reconstructed. Scratched and dirty wallpapers, slippery oiled floor, the door security latch was broken off. The bathroom... oh... too much black mould even for Thailand. When we just checked in someone's hairs were in the bath, the bath itself is good to be thrown out. Nothing else. The shower flow mixer is covered with limescale. It was never cleaned I believe. The waterflow is very poor.   There's a table in the room that I wanted to work at with my laptop. But right above the table there was a hole in the ceil. And water (or whatever it was) was dripping out from there.  Not much but what the hell?  Wifi in the room works extremely bad. Had to buy a local SIM card.  Breakfasts. Though there's quite a good offering of meals, the tea is the problem. 1 (one) sort of tea, if it is tea at all, brewed in a teapot. Ah, there are also 2 dying coffee machines. One of them was broken.  Well, there were good things also. The pool is ok, wide kingsize bed, and the lunch booked to the room from Tropicana restaurant was delicious. But these are to few for a hotel with 8.1 rating at booking.   I do not recommend.",0
3626,"We booked and prepaid in advance and had to get the tourist police involved!  We arrived at 23:30, called in advance around 14:30 to make sure the room was ok for our romantic trip.  The room was a run down version of the dated pictures. The air conditioning did not work and there was a lizard in our room. The room was clearly not checked.  The tried to downgrade us to an worse room without a shower and two single beds. We disagreed. The very unfriendly and aggressive receptionist said that the only person to fix the problem is the manager, who is back tomorrow. And if we don't take the downgraded room they would kick us out. ""Sleep on street, no money back, go"" in a very aggressive tone.  We had to call the police who tried to get us to another hotel but this hotel refused to pay our money back to be able to book somewhere else! The local police advised us to file a complaint in Bangkok with the right authorities.  The hotel agreed with the police that if we stayed one night in the downgraded room they will give us the room we payed for the next day.  It is now 01:00 and we hope we do get the room we paid for.  In my decades of travel, I have never had such an unfriendly and aggressive receptionist and such terrible service.  Stay away from this hotel and if you have no other choice but this hotel then don't prepay as they will try to scam you once they have your money!",0
3816,"Booked a suite room over a month ago.. pictures showed room with an outdoor terrace and seating overlooking the landscape. When I arrived I was taken to my room to find out it was a completely different room right in the back corner of the hotel.. With no view and no terrace just a small walkway.. I was told one of the doors could not be opened as it led to managers area. There was a lounge next to the room but I was told that I could not use it. After checking the pictures I complained that this was not the room I booked and I wanted a room with an outdoor terrace as I had booked. I was then told the room I had booked was under refurbishement ! I had a look around and I said I would swap for a room by the pool. 2 of them were also under refurbishement, the other 2 empty but he said guests would be arriving to take them. The only other room offered was a small side room with no view again! I asked for a refund..which I was given. I wasted taxi money coming all the way there to find out many of the rooms are under refurbishement including the one u had booked. This is terrible service as I booked a month earlier they should have contacted me to let me know that the room wasn't available letting me decide if I still wanted to come before wasting time and money to get to the isolated location. I then asked to be taken back to ubud.. I had to wait a further 3 hours for the free shuttle bus as they wouldn't organise a taxi for me unless I paid $30. Overshadowed terrible service be warned!",0
3900,"Beware when showering, the sewage piping in the hotel room needs upgrading! My room had extremely poor drainage; it flooded the floor until the main corridor, and wouldn’t stop flowing. When the housekeeping staff came, both persons were rude, highly defensive and continually pinned the problem on us. We finally got our room changed by a burly man with glasses at the front desk. However, he was equally insensitive and unapologetic for our inconvenience and he had a take-it-or-leave attitude. Highly disappointed in the treatment of guests by the staff. I wouldn’t recommend staying here, as the service here is a far cry from other hotels nearby this area.",0
3927,"The hotel was disappointing, I paid for a double room and got two separate beds, one of which was broken, dipped in the middle and was very uncomfy. No hangers or iron in the room. We booked the spa for an hour on Tuesday for Friday morning and when we went to go in the spa they told us we couldn’t go in as something wasn’t working, we had no notice at all for it. Asked them to book us a taxi to the city centre which cost €40 when the past few days it had cost us €20 at most.",0
4006,"Place is overall terrible for the price you pay. Picked this hotel for the good reviews and now I know for a fact they are paid reviews or just scammers. This place is just all around dumpy and old. The infrastructure is awful, the rooms are not only small but are shaped very weird, many fire code violations, and the bathrooms are ridiculous. No curtain or door for the bathroom so the water just spills onto the bathroom floor, just plain gross. The hallways are loud and echoey so you hear everything in your room! Location is very far from sights. 20 minute walk to bus station for airport, and 15 minute walk for Acropolis. There are no taxis that drive by the area they are located in. They really need to update this place or charge a lower price. Not worth 80 Euros a night.",0
4074,"We booked a room just for day use to change before our long flight home. Staff very unfriendly and incompetent. We ordered room service for two, arriving two plates with only one cutlet. Ordering the second one, the knife was missing. Although ordering in advance, waiting time. We ordered starters, one of them Not available…. We stayed for the whole stay in LEELA Hotels and have been very happy in Delhi, Jaipur and Kovalam, but Chennai never ever again !!!! Even pick up from the airport only medium friendly…",0
4196,"I would not recommend this hotel for the following reasons: (a) The decoration is very old and lack of renovation. It's a reminiscence of 80s or 90s in China. (b) The power outlet is UK style!! I understand that this hotel was built by a Singapore company but come on, it's 2019 not 1989. Why do you still keep UK style power outlet but not Chinese or US one?? (c) The carpet seems old and not quite clean. To be honest, there are not many options if you want to stay in old town Suzhou but you do have many other options outside. I don't see the necessity to stay in old town right?",0
4201,"Yuck.  We were here with our tour group of 23 for one ridiculous evening.  The building has some impressive lobbys and that is it.   Once we entered the long maze to our room, the grandeur was replaced with motel level ambience. Our room was a dingy 3 level star at best.  The carpet was old, stained, and had not been vacuumed.  The chair at the desk was ripped and missing part of the seat.  The bathroom was tired but had lovely soap products.  Our neighbor’s room had a dildo left behind from the previous Guests waiting for them.  Ew.  We wondered other then making the beds, the rooms are cleaned at all in between people.   The dinner had been reserved and ordered the day before.   Nevertheless, the food took ages and came out at different times.  We have 6 people in our family and the notion of serving us together was a hassle.  Instead three cold plates of beef came right away.  The other 3 orders came at 30 min or longer to appear. All cold.  Other guests experienced similar frustrations and worse.   Appently the food was made earlier and just dishes out cold.   The table beside us had a dish that was literally still frozen when it came to the table.  The table beside us was broken.  We cleared our own table while waiting for desert.  Staff were kind but confused as through 20 were just hired that day.      Thankfully we all laughed at the craziness of this experience.  If it wasn’t called Pan Pacific it wouldn’t have bothered us.  Just part of discovering China.",0
